time,station_id,station_status,bikes_available,ebikes_available,bikes_disabled,docks_available,docks_disabled
2020-09-23 16:44:25,3157,active,0,0,3,24,0
2020-09-23 16:44:25,3158,active,3,1,0,28,0
2020-09-23 16:44:25,3159,active,3,2,1,27,0
2020-09-23 16:44:25,3160,active,7,0,0,32,0
2020-09-23 16:44:25,3161,active,1,1,0,58,0
2020-09-23 16:44:25,3163,active,4,1,2,37,0
2020-09-23 16:44:25,3164,active,2,1,4,60,0
2020-09-23 16:44:25,3165,active,9,0,3,39,0
2020-09-23 16:44:25,3166,active,0,0,22,0,19
2020-09-23 16:44:25,3167,active,1,0,1,53,0
2020-09-23 16:44:25,3169,active,1,1,1,37,0
2020-09-23 16:44:25,3170,active,0,0,3,32,0
2020-09-23 16:44:25,3171,active,0,0,1,38,0
2020-09-23 16:44:25,3172,active,3,2,0,24,0
2020-09-23 16:44:25,3173,active,0,0,2,37,0
2020-09-23 16:44:25,3175,active,1,0,1,29,0
2020-09-23 16:44:25,3177,active,1,0,2,60,0
2020-09-23 16:44:25,3178,active,1,0,2,36,0
2020-09-23 16:44:25,3179,active,7,0,2,14,0
2020-09-23 16:44:25,3182,active,34,0,1,7,0
2020-09-23 16:44:25,3184,active,7,0,0,7,0
2020-09-23 16:44:25,3185,active,22,0,0,0,0
2020-09-23 16:44:25,3186,active,41,0,1,0,0
2020-09-23 16:44:25,3187,active,20,0,1,1,0
2020-09-23 16:44:25,3191,active,13,0,0,5,0
2020-09-23 16:44:25,3192,active,7,0,1,14,0
2020-09-23 16:44:25,3193,active,11,0,0,7,0
2020-09-23 16:44:25,3194,active,0,0,2,20,0
2020-09-23 16:44:25,3195,active,10,0,2,22,0
2020-09-23 16:44:25,3196,active,1,0,0,17,0
2020-09-23 16:44:25,3198,active,2,0,1,15,0
2020-09-23 16:44:25,3199,active,11,0,0,3,0
2020-09-23 16:44:25,3201,active,11,0,2,5,0
2020-09-23 16:44:25,3202,active,16,0,1,1,0
2020-09-23 16:44:25,3203,active,6,0,2,17,1
2020-09-23 16:44:25,3205,active,21,0,0,1,0
2020-09-23 16:44:25,3206,active,0,0,1,25,0
2020-09-23 16:44:25,3207,active,1,0,0,25,0
2020-09-23 16:44:25,3209,active,1,0,1,20,0
2020-09-23 16:44:25,3210,active,3,0,0,15,0
2020-09-23 16:44:25,3211,active,20,0,0,2,0
2020-09-23 16:44:25,3212,active,0,0,1,21,0
2020-09-23 16:44:25,3213,active,12,0,1,9,0
2020-09-23 16:44:25,3214,active,3,0,1,18,0
2020-09-23 16:44:25,3220,active,3,0,0,15,0
2020-09-23 16:44:25,3221,active,22,4,2,3,0
2020-09-23 16:44:25,3225,active,2,0,1,11,0
2020-09-23 16:44:25,3226,active,1,1,12,32,0
2020-09-23 16:44:25,3231,active,3,0,1,35,0
2020-09-23 16:44:25,3232,active,43,0,0,4,0
2020-09-23 16:44:25,3233,active,34,12,3,2,0
2020-09-23 16:44:25,3235,active,33,6,0,1,0
2020-09-23 16:44:25,3236,active,0,0,0,33,0
2020-09-23 16:44:25,3241,active,2,1,0,17,0
2020-09-23 16:44:25,3242,active,28,0,0,11,0
2020-09-23 16:44:25,3243,active,5,0,0,24,0
2020-09-23 16:44:25,3244,active,35,0,1,6,0
2020-09-23 16:44:25,3246,active,30,0,1,8,0
2020-09-23 16:44:25,3249,active,2,0,0,17,0
2020-09-23 16:44:25,3254,active,11,0,3,15,0
2020-09-23 16:44:25,3255,active,7,1,1,10,0
2020-09-23 16:44:25,3256,active,14,1,0,9,0
2020-09-23 16:44:25,3259,active,0,0,0,27,0
2020-09-23 16:44:25,3260,active,44,0,1,0,0
2020-09-23 16:44:25,3263,active,43,0,5,11,0
2020-09-23 16:44:25,3267,active,1,0,0,13,0
2020-09-23 16:44:25,3268,active,0,0,2,12,0
2020-09-23 16:44:25,3269,active,3,0,0,11,0
2020-09-23 16:44:25,3270,active,9,0,0,5,0
2020-09-23 16:44:25,3272,active,13,0,0,1,0
2020-09-23 16:44:25,3273,active,18,0,0,0,0
2020-09-23 16:44:25,3275,active,14,0,0,0,0
2020-09-23 16:44:25,3276,active,16,0,1,9,0
2020-09-23 16:44:25,3277,active,3,0,0,11,0
2020-09-23 16:44:25,3278,active,2,0,0,12,0
2020-09-23 16:44:25,3279,active,8,0,1,9,0
2020-09-23 16:44:25,3280,active,1,0,0,13,0
2020-09-23 16:44:25,3281,active,2,0,0,12,0
2020-09-23 16:44:25,3282,active,9,0,1,28,0
2020-09-23 16:44:25,3283,active,46,4,0,1,0
2020-09-23 16:44:25,3284,active,0,0,1,37,0
2020-09-23 16:44:25,3285,active,4,0,2,37,0
2020-09-23 16:44:25,3286,active,2,1,0,37,0
2020-09-23 16:44:25,3287,active,2,1,2,43,0
2020-09-23 16:44:25,3288,active,2,0,0,37,0
2020-09-23 16:44:25,3289,active,0,0,1,31,0
2020-09-23 16:44:25,3290,active,0,0,0,35,0
2020-09-23 16:44:25,3292,active,2,0,0,41,0
2020-09-23 16:44:25,3293,active,2,0,1,21,0
2020-09-23 16:44:25,3294,active,2,0,3,33,0
2020-09-23 16:44:25,3296,active,17,0,0,24,0
2020-09-23 16:44:25,3297,active,20,0,0,1,0
2020-09-23 16:44:25,3298,active,19,0,0,4,0
2020-09-23 16:44:25,3299,active,16,2,2,7,0
2020-09-23 16:44:25,3300,active,0,0,1,24,0
2020-09-23 16:44:25,3301,active,11,0,2,26,0
2020-09-23 16:44:25,3302,active,0,0,0,22,0
2020-09-23 16:44:25,3303,active,22,0,1,2,0
2020-09-23 16:44:25,3304,active,18,0,0,9,0
2020-09-23 16:44:25,3305,active,7,0,0,32,0
2020-09-23 16:44:25,3306,active,2,0,0,21,0
2020-09-23 16:44:25,3307,active,4,0,0,27,0
2020-09-23 16:44:25,3308,active,19,0,0,8,0
2020-09-23 16:44:25,3309,active,2,0,1,27,0
2020-09-23 16:44:25,3310,active,13,0,1,10,0
2020-09-23 16:44:25,3311,active,14,0,0,7,0
2020-09-23 16:44:25,3312,active,22,0,1,15,0
2020-09-23 16:44:25,3313,active,13,0,2,14,0
2020-09-23 16:44:25,3314,active,3,0,3,26,0
2020-09-23 16:44:25,3315,active,16,0,1,6,0
2020-09-23 16:44:25,3317,active,20,1,1,3,0
2020-09-23 16:44:25,3318,active,11,0,2,26,0
2020-09-23 16:44:25,3319,active,17,0,1,3,0
2020-09-23 16:44:25,3321,active,17,1,0,8,0
2020-09-23 16:44:25,3323,active,2,1,2,55,0
2020-09-23 16:44:25,3324,active,25,1,0,0,0
2020-09-23 16:44:25,3325,active,2,2,1,28,0
2020-09-23 16:44:25,3326,active,19,1,0,2,0
2020-09-23 16:44:25,3327,active,7,0,0,20,0
2020-09-23 16:44:25,3328,active,1,0,3,35,0
2020-09-23 16:44:25,3329,active,17,0,1,9,0
2020-09-23 16:44:25,3330,active,19,2,0,0,0
2020-09-23 16:44:25,3331,active,0,0,4,35,0
2020-09-23 16:44:25,3332,active,16,0,0,3,0
2020-09-23 16:44:25,3333,active,21,0,0,0,0
2020-09-23 16:44:25,3335,active,24,0,0,4,0
2020-09-23 16:44:25,3336,active,3,0,0,38,0
2020-09-23 16:44:25,3337,active,22,1,1,0,0
2020-09-23 16:44:25,3338,active,12,0,1,18,0
2020-09-23 16:44:25,3339,active,14,1,1,8,0
2020-09-23 16:44:25,3342,active,22,0,0,1,0
2020-09-23 16:44:25,3343,active,0,0,0,23,0
2020-09-23 16:44:25,3344,active,15,2,1,3,0
2020-09-23 16:44:25,3345,active,35,1,0,0,0
2020-09-23 16:44:25,3347,active,21,0,0,0,0
2020-09-23 16:44:25,3348,active,19,0,0,0,0
2020-09-23 16:44:25,3349,active,3,0,2,25,0
2020-09-23 16:44:25,3350,active,16,1,0,23,0
2020-09-23 16:44:25,3351,active,1,0,3,21,0
2020-09-23 16:44:25,3352,active,21,0,0,0,0
2020-09-23 16:44:25,3354,active,8,1,1,22,0
2020-09-23 16:44:25,3355,active,8,0,0,17,0
2020-09-23 16:44:25,3356,active,0,0,0,21,0
2020-09-23 16:44:25,3357,active,0,0,0,35,0
2020-09-23 16:44:25,3358,active,2,0,0,23,0
2020-09-23 16:44:25,3359,active,4,0,0,36,1
2020-09-23 16:44:25,3361,active,16,0,0,7,0
2020-09-23 16:44:25,3362,active,0,0,1,33,0
2020-09-23 16:44:25,3363,active,21,0,1,11,0
2020-09-23 16:44:25,3364,active,21,0,2,4,0
2020-09-23 16:44:25,3365,active,16,1,2,9,0
2020-09-23 16:44:25,3366,active,0,0,1,21,0
